name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,286617971,,,,,primary,0,103.6096571,36.1409844,,,
,1,286618002,,,,,primary,0,103.6118756,36.4951373,,,
,2,286618058,,,,,primary,0,103.6098757,36.1410101,,,
,4,286619059,,,,,primary,0,103.7917336,36.0722128,,,
,7,286619117,,,,,primary,0,103.6910212,36.0902166,,,
,8,286619129,,,,,primary,0,103.6098975,36.1402655,,,
,10,306085037,,,,,trunk,0,95.4639699,41.0722632,,,
,12,306085152,,,,,trunk,1,95.5041137,41.1047564,,,
,13,306201228,,,,,secondary,0,93.8288755,40.3492137,,,
,14,306201282,,,,,secondary,0,94.0749283,40.1651567,,,
,15,306201301,,,,,secondary,0,94.3270115,39.9737228,,,
,16,306201304,,,,,trunk,0,94.3288211,39.9734609,,,
,17,306201322,,,,,trunk,0,94.5549806,40.0856273,,,
,18,306201325,,,,,primary,0,94.5839196,40.1052039,,,
,20,306201378,,,,,secondary,0,94.6684486,40.110954,,,
,21,306209305,,,,,primary,0,94.7207458,40.1435002,,,
,22,306209365,,,,,secondary,0,94.8166288,40.0702995,,,
,23,306210162,,,,,primary,0,94.6569915,40.1406954,,,
,24,312486170,,,,,secondary,0,94.5838994,40.1174118,,,
,25,312486175,,,,,primary,0,94.6025362,40.1141581,,,
,26,313726355,,,,,primary,0,94.8900842,40.1633689,,,
,28,313726993,,,,,secondary,0,95.7777002,40.508903,,,
,29,313729532,,,,,secondary,0,95.7733852,40.5551648,,,
,36,313730167,,,,,trunk,0,97.0501036,40.3354207,,,
,38,313731718,,,,,trunk,0,95.465607,41.0737059,,,
,39,313731768,,,,,motorway,0,95.621629,40.7920777,,,
,40,313732867,,,,,primary,0,97.0365085,40.2915128,,,
,41,313734310,,,,,secondary,0,97.045809,40.2777634,,,
,42,313734350,,,,,trunk,0,97.0865993,40.2658445,,,
,51,313735065,motorway_junction,,,,motorway,0,98.1164611,39.802051,,,
,52,313735066,,,,,motorway,0,98.1182181,39.8013602,,,
,54,313735087,,,,,primary,0,98.1302105,39.798102,,,
,55,313735089,,,,,primary,0,98.1313287,39.7984233,,,
,60,313735126,,,,,secondary,0,98.225651,39.7961277,,,
,61,313735163,,,,,secondary,0,98.2309575,39.7964041,,,
,62,313735165,,,,,secondary,0,98.231995,39.7957017,,,
,63,313735167,,,,,secondary,0,98.2420607,39.7950762,,,
,64,313735174,,,,,secondary,0,98.2566899,39.7932711,,,
,66,313736243,,,,,secondary,0,98.2989008,39.7868396,,,
,67,313736263,,,,,secondary,0,98.3269946,39.781942,,,
,68,313736269,,,,,trunk,0,98.3409714,39.77986,,,
,70,313736356,,,,,secondary,0,98.4948443,39.7494083,,,
,71,313736369,,,,,secondary,0,98.5006975,39.737669,,,
,72,313736371,,,,,primary,0,98.5009995,39.7366518,,,
,73,313736373,,,,,secondary,0,98.5019186,39.7367662,,,
,74,313736515,,,signal,,secondary,0,98.5185674,39.7340665,,,
,75,313736541,traffic_signals,,signal,,primary,0,98.5393984,39.7231652,,,
,76,313736798,,,,,trunk,0,99.35553,39.2533619,,,
,79,313736918,,,,,secondary,0,99.7985547,39.3070848,,,
,80,313736937,,,,,secondary,0,99.8214442,39.3723362,,,
