name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,493701962,,yes,,,"POLYGON ((103.9501235 36.3277523, 103.950794 36.3278431, 103.9508181 36.3277276, 103.9501476 36.3276368, 103.9501235 36.3277523))",POINT (103.9504708 36.32774),794.7,8553.8
,1,407234058,,yes,,,"POLYGON ((103.8208192 36.0580195, 103.8208277 36.0582165, 103.8209368 36.0583007, 103.8211057 36.0582959, 103.8211848 36.0582042, 103.8211764 36.0580094, 103.8208192 36.0580195))",POINT (103.8210046 36.0581465),933.3,10046.4
,2,405477271,,residential,,,"POLYGON ((103.9557596 35.9951729, 103.9562813 35.9950299, 103.9563306 35.9951479, 103.955809 35.9952908, 103.9557596 35.9951729))",POINT (103.9560451 35.9951604),687.2,7397.5
,3,488799793,,residential,,,"POLYGON ((105.6668303 34.8647343, 105.6677042 34.8647365, 105.6676938 34.8647086, 105.6676808 34.8646765, 105.6676547 34.8646594, 105.667626 34.8646423, 105.6668303 34.8646294, 105.6668303 34.8647343))",POINT (105.6672466 34.8646864),848.9,9137.7
,4,418585579,,yes,,,"POLYGON ((103.7376356 36.0742498, 103.7376626 36.074354, 103.7383679 36.0742347, 103.7383409 36.0741305, 103.7376356 36.0742498))",POINT (103.7380017 36.0742422),767.1,8256.4
,5,422794488,,yes,,,"POLYGON ((106.5220132 35.5437896, 106.5219751 35.5439139, 106.5220401 35.5439271, 106.5220783 35.5438029, 106.5220132 35.5437896))",POINT (106.5220267 35.5438584),85.5,920.7
,6,425208613,,yes,,,"POLYGON ((94.5787163 40.1060694, 94.5788005 40.1059854, 94.5796615 40.1064909, 94.5795773 40.1065749, 94.5787163 40.1060694))",POINT (94.57918890000001 40.1062802),1100.5,11845.7
,7,590288481,,yes,,,"POLYGON ((103.6610501 36.0843539, 103.6615311 36.0842666, 103.6613766 36.0837103, 103.6608955 36.0837976, 103.6610501 36.0843539))",POINT (103.6612133 36.0840321),2809.3,30239.2
,8,945213311,,yes,,,"POLYGON ((103.8080227 36.0983758, 103.8086638 36.0984322, 103.8086782 36.0983252, 103.8080371 36.0982688, 103.8080227 36.0983758))",POINT (103.8083505 36.0983505),692.0,7448.9
,9,557646426,,yes,,,"POLYGON ((104.7924149 35.2996237, 104.793064 35.2997857, 104.7930895 35.2997178, 104.7924404 35.2995558, 104.7924149 35.2996237))",POINT (104.7927522 35.2996708),485.9,5230.3
,10,411990058,,yes,,,"POLYGON ((103.8602541 36.0568185, 103.8602659 36.0568412, 103.8597618 36.057012, 103.8598159 36.0571163, 103.8603227 36.0569446, 103.8603111 36.0569223, 103.8606573 36.0568049, 103.860603 36.0567002, 103.8602541 36.0568185))",POINT (103.860211 36.0569103),1046.7,11266.5
,11,425208549,,yes,,,"POLYGON ((94.5754812 40.1033656, 94.57548060000001 40.1032179, 94.5761392 40.1032163, 94.57613980000001 40.1033641, 94.5754812 40.1033656))",POINT (94.57581020000001 40.103291),932.8,10041.0
,12,762617461,,yes,,,"POLYGON ((94.6569049 40.1390212, 94.65689690000001 40.1391604, 94.6573824 40.1391768, 94.6573904 40.1390376, 94.6569049 40.1390212))",POINT (94.6571436 40.139099),648.9,6985.2
,13,415379224,,yes,,,"POLYGON ((103.8201169 36.050064, 103.8201222 36.0501574, 103.8207069 36.0501358, 103.8207016 36.0500423, 103.8201169 36.050064))",POINT (103.820412 36.0500999),548.3,5901.7
,14,762614418,,yes,,,"POLYGON ((94.6734649 40.1391278, 94.6732852 40.1391155, 94.6732738 40.139213, 94.67345349999999 40.1392253, 94.6734649 40.1391278))",POINT (94.6733693 40.1391704),169.0,1819.2
,15,680681080,,yes,,,"POLYGON ((102.0953049 33.9957495, 102.0953109 33.9958226, 102.0953626 33.9958197, 102.0953565 33.9957466, 102.0953049 33.9957495))",POINT (102.0953337 33.9957846),38.4,412.8
,16,779916314,,yes,,,"POLYGON ((107.6422727 35.721169, 107.6422944 35.7210754, 107.6415246 35.7209578, 107.6415029 35.7210514, 107.6422727 35.721169))",POINT (107.6418987 35.7210634),752.5,8099.6
,17,407198011,,apartments,,,"POLYGON ((103.727411 36.0711793, 103.7273735 36.0710292, 103.7268156 36.0711202, 103.7268531 36.0712703, 103.727411 36.0711793))",POINT (103.7271133 36.0711498),870.7,9371.9
,18,745000380,,yes,,,"POLYGON ((104.071362 34.4036455, 104.0715366 34.4036573, 104.0715849 34.4031727, 104.0714103 34.4031608, 104.071362 34.4036455))",POINT (104.0714734 34.4034091),869.3,9356.8
,19,852721259,,yes,,,"POLYGON ((103.7566195 36.0585676, 103.7567023 36.0585539, 103.7567109 36.0585881, 103.7570614 36.0585303, 103.757008 36.0583192, 103.7565748 36.0583907, 103.7566195 36.0585676))",POINT (103.756823 36.0584567),921.6,9920.0
,20,909107349,,yes,,,"POLYGON ((105.9720719 34.5555286, 105.9721575 34.5554929, 105.9721282 34.5554453, 105.9720427 34.5554809, 105.9720719 34.5555286))",POINT (105.9721001 34.5554869),52.5,565.5
,21,409744647,,yes,,,"POLYGON ((103.730122 36.0516324, 103.7307496 36.0515088, 103.7307212 36.0514144, 103.7306542 36.0514276, 103.7306314 36.0513519, 103.7304576 36.0513861, 103.7304765 36.0514488, 103.7303449 36.0514747, 103.7303261 36.051412, 103.7301282 36.051451, 103.730148 36.0515169, 103.7300906 36.0515282, 103.730122 36.0516324))",POINT (103.7304086 36.0514962),949.7,10222.6
,22,742906634,,yes,,,"POLYGON ((103.2498567 35.6248289, 103.2498853 35.6249009, 103.2499447 35.6248853, 103.2500374 35.6251183, 103.2502125 35.6250723, 103.2500911 35.6247673, 103.2500492 35.624662, 103.2498148 35.6247237, 103.2498567 35.6248289))",POINT (103.2500224 35.6248792),913.8,9836.4
,23,741761607,,yes,,,"POLYGON ((103.6936721 36.541786, 103.6941817 36.5417861, 103.6941817 36.5415253, 103.6936721 36.5415253, 103.6936721 36.541786))",POINT (103.6939269 36.5416557),1320.1,14209.8
天水中医院,24,412952093,,,hospital,,"POLYGON ((105.7143242 34.5754588, 105.7142383 34.5768545, 105.7153595 34.5767264, 105.7154668 34.5756708, 105.7143242 34.5754588))",POINT (105.7148215 34.5761723),14161.3,152431.2
,25,590288749,,yes,,,"POLYGON ((103.7290183 36.0827419, 103.7292288 36.0828524, 103.7293401 36.0827138, 103.7291296 36.0826033, 103.7290183 36.0827419))",POINT (103.7291792 36.0827279),413.2,4447.9
,26,594270050,,yes,,,"POLYGON ((103.8282037 36.0687766, 103.829309 36.0687057, 103.8293308 36.0689279, 103.8294432 36.0689207, 103.8294125 36.0686079, 103.8281948 36.068686, 103.8282037 36.0687766))",POINT (103.8289129 36.0687146),1364.3,14685.7
,27,686720418,,yes,,,"POLYGON ((103.8087013 36.0859197, 103.8090822 36.0859695, 103.8091049 36.0858561, 103.8087241 36.0858063, 103.8087013 36.0859197))",POINT (103.8089031 36.0858879),443.2,4770.3
,28,882122195,,yes,,,"POLYGON ((94.6701307 40.0977796, 94.6704763 40.0978605, 94.6705698 40.097649, 94.6703746 40.0976023, 94.6703746 40.0975433, 94.6702202 40.0975059, 94.6701307 40.0977796))",POINT (94.6703395 40.097695),897.0,9655.5
,29,446542170,,yes,,,"POLYGON ((103.7978038 36.0586429, 103.7972622 36.0589135, 103.7973328 36.0590057, 103.7978744 36.0587351, 103.7978038 36.0586429))",POINT (103.7975683 36.0588243),689.4,7420.4
,30,569403271,,yes,,,"POLYGON ((101.692168 33.7700275, 101.6921773 33.7699596, 101.6923556 33.7699764, 101.6923463 33.7700443, 101.692168 33.7700275))",POINT (101.6922618 33.7700019),124.8,1343.3
,31,883822123,,yes,,,"POLYGON ((103.2687002 36.7252404, 103.2688719 36.725277, 103.2689191 36.7251348, 103.2688939 36.7251295, 103.2690345 36.7247063, 103.268888 36.724675, 103.2687002 36.7252404))",POINT (103.268868 36.7249828),916.8,9868.8
,32,921690634,,yes,,,"POLYGON ((103.8454851 35.9090848, 103.8456219 35.9093107, 103.8456977 35.9092806, 103.8455609 35.9090547, 103.8454851 35.9090848))",POINT (103.8455914 35.9091827),210.9,2270.3
,33,407220802,,yes,,,"POLYGON ((103.7965733 36.482854, 103.7968776 36.4826369, 103.7967621 36.4825322, 103.7964578 36.4827493, 103.7965733 36.482854))",POINT (103.7966677 36.4826931),563.7,6068.1
,34,691655427,,yes,,,"POLYGON ((103.7816486 36.0580981, 103.781769 36.0581224, 103.7819219 36.0576258, 103.7818015 36.0576016, 103.7816486 36.0580981))",POINT (103.7817852 36.057862),634.5,6830.2
,35,931490917,,yes,,,"POLYGON ((105.9087798 34.4898826, 105.9088498 34.4897788, 105.9087288 34.4897235, 105.9086589 34.4898273, 105.9087798 34.4898826))",POINT (105.9087543 34.489803),167.6,1804.1
,36,780984361,,yes,,,"POLYGON ((107.6430666 35.7144182, 107.6430851 35.7143086, 107.6423264 35.7142244, 107.6423079 35.7143339, 107.6430666 35.7144182))",POINT (107.6426966 35.7143213),852.6,9177.5
,37,695017197,,yes,,,"POLYGON ((103.8137814 36.0216852, 103.8142428 36.0219738, 103.8142883 36.0219261, 103.813827 36.0216376, 103.8137814 36.0216852))",POINT (103.8140349 36.0218057),351.8,3786.7
,38,489276513,,yes,,,"POLYGON ((103.8213544 36.0480456, 103.8215369 36.0480602, 103.8215569 36.0478971, 103.8213744 36.0478825, 103.8213544 36.0480456))",POINT (103.8214556 36.0479713),300.5,3235.0
,39,776193153,,yes,,,"POLYGON ((103.8099217 36.0576927, 103.8101482 36.0575718, 103.8099658 36.0573485, 103.8097393 36.0574693, 103.8099217 36.0576927))",POINT (103.8099437 36.0575206),722.5,7777.0
,40,314493418,,yes,,,"POLYGON ((104.0701251 39.4626542, 104.070201 39.4626501, 104.0701898 39.4625271, 104.0701139 39.4625312, 104.0701251 39.4626542))",POINT (104.0701574 39.4625906),89.8,967.0
,41,699215213,,yes,,,"POLYGON ((103.9049631 36.1076576, 103.9053118 36.1076511, 103.9053082 36.1075234, 103.9049595 36.1075299, 103.9049631 36.1076576))",POINT (103.9051357 36.1075905),444.6,4785.7
,42,713012785,,yes,,,"POLYGON ((107.9472345 36.0259739, 107.9474502 36.0260019, 107.9474652 36.0259262, 107.9472495 36.0258983, 107.9472345 36.0259739))",POINT (107.9473499 36.0259501),167.0,1798.0
,43,915128374,,yes,,,"POLYGON ((104.6779007 36.574907, 104.6786564 36.5749868, 104.6786758 36.5748682, 104.6779201 36.5747883, 104.6779007 36.574907))",POINT (104.6782882 36.5748876),908.9,9782.9
,44,451057357,,yes,,,"POLYGON ((103.8080287 36.0628135, 103.8081665 36.0628067, 103.8081588 36.0627029, 103.8080209 36.0627096, 103.8080287 36.0628135))",POINT (103.8080937 36.0627582),143.2,1541.0
,45,409093858,,yes,,,"POLYGON ((103.7987302 36.0535195, 103.7987247 36.0536327, 103.799364 36.0536528, 103.7993579 36.0537793, 103.7995081 36.053784, 103.7995196 36.0535444, 103.7987302 36.0535195))",POINT (103.7991772 36.0536113),1086.5,11695.4
,46,915129139,,yes,,,"POLYGON ((104.6791264 36.5729899, 104.6797939 36.5730796, 104.6798003 36.5730492, 104.6798158 36.5729748, 104.6791483 36.5728851, 104.6791264 36.5729899))",POINT (104.6794711 36.5729824),713.3,7678.3
,47,695589839,,yes,,,"POLYGON ((103.5593364 35.4857769, 103.5593611 35.4859557, 103.5600048 35.4858967, 103.5599801 35.485718, 103.5593364 35.4857769))",POINT (103.5596706 35.4858368),1172.0,12614.9
,48,915128516,,yes,,,"POLYGON ((104.6759239 36.5577763, 104.676039 36.5578386, 104.6761892 36.5576598, 104.6760741 36.5575974, 104.6759239 36.5577763))",POINT (104.6760566 36.557718),299.1,3219.9
,49,762694502,,yes,,,"POLYGON ((94.6349993 40.1354778, 94.6350503 40.1354342, 94.6349001 40.1353316, 94.6348491 40.1353753, 94.6349993 40.1354778))",POINT (94.63494970000001 40.1354047),113.0,1215.9
,50,945925247,,residential,,,"POLYGON ((102.6336658 34.0935242, 102.6336548 34.0934944, 102.633771 34.0934655, 102.6337814 34.0934958, 102.6336658 34.0935242))",POINT (102.6337183 34.0934949),38.6,415.6
,51,908886147,,industrial,,,"POLYGON ((102.1684208 38.4921122, 102.1684378 38.4922198, 102.1684086 38.4923259, 102.1683367 38.4924186, 102.1682298 38.4924877, 102.1680999 38.4925255, 102.1679613 38.4925278, 102.1678294 38.4924943, 102.1677215 38.492431, 102.167645 38.492344, 102.1676082 38.4922424, 102.1676148 38.4921369, 102.1676641 38.4920386, 102.1677511 38.4919578, 102.1678664 38.491903, 102.1679981 38.49188, 102.1681359 38.4918919, 102.168261 38.4919386, 102.1683596 38.4920148, 102.1684208 38.4921122))",POINT (102.1680217 38.4922053),4053.2,43628.5
,52,446542130,,yes,,,"POLYGON ((103.7963766 36.0553595, 103.7962878 36.0554552, 103.796438 36.0555463, 103.7965268 36.0554505, 103.7963766 36.0553595))",POINT (103.7964073 36.0554529),224.2,2413.3
,53,435109675,,yes,,,"POLYGON ((103.8440508 36.0413185, 103.8441836 36.0413492, 103.8442573 36.0411407, 103.8441244 36.04111, 103.8440508 36.0413185))",POINT (103.844154 36.0412296),299.9,3228.2
,54,856496123,,yes,,,"POLYGON ((103.8407439 36.0485703, 103.8409517 36.0485485, 103.8409283 36.0484025, 103.8407205 36.0484243, 103.8407439 36.0485703))",POINT (103.8408361 36.0484864),307.4,3308.8
,55,863853553,,yes,,,"POLYGON ((103.6145899 36.0894441, 103.6148044 36.0892706, 103.6147186 36.0892013, 103.6145041 36.0893748, 103.6145899 36.0894441))",POINT (103.6146543 36.0893227),295.9,3184.8
,56,899862693,,yes,,,"POLYGON ((105.7653594 34.5795575, 105.7659884 34.5795274, 105.765979 34.5793941, 105.76535 34.5794242, 105.7653594 34.5795575))",POINT (105.7656692 34.5794758),856.8,9222.7
